Remedies,sno.
Make healthy food choices.,1
Consume iron content food nd juices,2
avoid food or beverages that block iron absorption,3
yoga,4
breathing exercises,5
"consume black seed, caffeine, choline and pycnogenol.",6
keep your surrounding clean,7
Boost your mineral intake,8
take sufficient calcium dose,9
Enhance vitamin intake,10
do not smoke,11
have a well balanced diet,12
do not smoke,11
Exercise regularly ,13
go for regular checkups,14
Stay hydrated. Sip warm liquids.,15
Rest. ,16
Breathing in steam,17
A humidifier or cool mist vaporizer,18
wash hands regularly,19
"avoid dairy products,cauliflowers,cabbage,fried foods,etc",20
drink ginger tea,21
do not smoke,22
eat slowly and do not eat chewing gum,23
exercise regularly.,13
Reduce your sodium intake.,24
Cut back on caffeine,25
Drink less alcohol,26
"Focus on Monounsaturated Fats(Olives,olive oil,almonds, walnuts,etc)",27
"Eat Soluble Fiber(beans, peas, lentils, fruit, psyllium and oats)",28
exercise regularly,13
do not smoke,11
" To reduce swelling, elevate your ankle above waist level",29
Avoid activities that cause pain,30
consult doctors for exercises,31
drink water and take adequate sleep,32
"Avoid Foods High in Histamine(cheeses, fermented food,wine,etc)",33
Drink Caffeinated Tea or Coffee,34
Relax with Yoga nd try acupunture,35
Taking insulin as directed by doctors,36
Frequent blood sugar monitoring.,37
Make healthy food choices.,1
Exercising regularly,13
intake of juice pulp of aloe vera,38
Milk thistle is an herb that can  be used ,39
"ginger,cinnamon,fenugreek,etc can help .",40
intake of bitter melon and its seeds is very useful,41
Take a vitamin D supplement,42
"Eat foods rich in vitamin D(Beef liver, cheese, milk and egg yolks )",43
Increase exposure to natural sunlight,44
