anemia,1
anemia,2
anemia,3
asthma,4
asthma,5
asthma,6
asthma,7
bone fracture,8
bone fracture,9
bone fracture,10
bone fracture,11
bone infection,12
bone infection,11
bone infection,13
bone infection,14
common cold,15
common cold,16
common cold,17
common cold,18
common cold,19
gastritis,20
gastritis,21
gastritis,22
gastritis,23
high blood pressure,13
high blood pressure,24
high blood pressure,25
high blood pressure,26
high cholesterol,27
high cholesterol,28
high cholesterol,13
high cholesterol,11
sprained ankle ,29
sprained ankle ,30
sprained ankle ,31
tension headache,32
tension headache,33
tension headache,34
tension headache,35
type 1 diabetes,36
type 1 diabetes,37
type 1 diabetes,1
type 1 diabetes,13
type 2 diabetes,38
type 2 diabetes,39
type 2 diabetes,40
type 2 diabetes,41
vitamin d deficiency,42
vitamin d deficiency,43
vitamin d deficiency,44
